cross_type,mating.number,eggs,hatched,unhatched
CC,1,45,37,8
CC,2,59,56,3
CC,3,58,58,0
CC,4,52,50,2
CC,5,39,39,0
CC,1,53,45,8
CC,2,55,53,2
CC,3,54,51,3
CC,4,47,47,0
CC,5,44,43,1
CC,1,45,40,5
CC,2,47,45,2
CC,3,49,48,1
CC,4,49,49,0
CC,5,56,56,0
CC,1,55,47,8
CC,2,54,50,4
CC,3,56,56,0
CC,4,55,55,0
CC,5,50,49,1
CV,1,35,8,27
CV,2,53,13,40
CV,3,57,26,31
CV,4,45,14,31
CV,5,46,17,29
CV,1,48,15,33
CV,2,46,10,36
CV,3,52,13,39
CV,4,49,12,37
CV,5,40,20,20
CV,1,57,18,39
CV,2,46,10,36
CV,3,57,19,38
CV,4,55,19,36
CV,5,48,17,31
CV,1,48,22,26
CV,2,54,14,40
CV,3,53,21,32
CV,4,45,11,34
CV,5,38,14,24
VC,1,65,40,25
VC,2,59,39,20
VC,3,66,37,29
VC,4,63,43,20
VC,5,55,44,11
VC,1,53,31,22
VC,2,71,41,30
VC,3,75,50,25
VC,4,57,41,16
VC,5,65,51,14
VC,1,59,31,28
VC,2,65,42,23
VC,3,60,32,28
VC,4,54,33,21
VC,5,48,30,18
VC,1,71,35,36
VC,2,61,34,27
VC,3,76,58,18
VC,4,63,38,25
VC,5,54,31,23
VV,1,59,52,7
VV,2,65,62,3
VV,3,68,66,2
VV,4,61,60,1
VV,5,59,59,0
VV,1,52,45,7
VV,2,55,49,6
VV,3,69,69,0
VV,4,65,64,1
VV,5,58,57,1
VV,1,56,47,9
VV,2,62,57,5
VV,3,68,66,2
VV,4,57,54,3
VV,5,65,65,0
VV,1,70,57,13
VV,2,53,48,5
VV,3,68,66,2
VV,4,65,63,2
VV,5,72,72,0
